"District.Name","Average.Salary","Total.Students","percent_students_in_art","White..","percent_black_hispanic","percent_take_sat","percent_disciplined"
"Abington","  $94,149",2107,79.4494542002848,78.7,16.5,5.98006644518272,3.65448504983389
"Acton-Boxborough","  $89,246",5164,76.4136328427576,51.6,9.7,8.69481022463207,1.25871417505809
"Agawam","  $84,533",3357,86.0291927316056,80.3,13.1,3.15758117366696,3.99165921954126
"Amesbury","  $81,751",1830,90.7103825136612,82.6,11.6,5.51912568306011,2.18579234972678
"Amherst-Pelham","  $85,588",1285,71.1284046692607,54.6,26.8,9.88326848249027,1.55642023346304
"Andover","  $91,896",5508,90.0326797385621,66.5,10.6,7.29847494553377,0.798838053740014
"Arlington","  $81,650",5692,87.1047083626142,69.8,9.8,6.79901616303584,1.08924806746311
"Ashburnham-Westminster","  $71,534",2187,78.7379972565158,89.3,6.7,3.24645633287609,3.33790580704161
"Ashland","  $83,540",2720,88.4191176470588,62.4,17.7,8.30882352941176,2.5
"Assabet Valley Regional Vocational Technical","  $78,434",1138,14.7627416520211,73,24,6.15114235500879,5.18453427065026
"Athol-Royalston","  $66,567",1426,87.2370266479663,81.4,13.4,0.771388499298738,8.97615708274895
"Attleboro","  $88,775",5630,84.4227353463588,66.3,22.5,4.38721136767318,5.57726465364121
"Auburn","  $77,553",2451,89.5144838841289,79.9,12.2,5.4671562627499,3.79436964504284
"Avon","  $78,345",680,88.5294117647059,45.8,42.4,4.11764705882353,3.97058823529412
"Ayer Shirley School District","  $70,600",1552,97.4871134020619,74.9,14.9,4.31701030927835,3.54381443298969
"Barnstable","  $85,128",4567,80.7313334793081,61.4,29.2,3.45960148894241,6.02145828771623
"Bedford","  $97,644",2583,84.3205574912892,60.6,13.8,8.36236933797909,2.24545102593883
"Belchertown","  $74,501",2132,87.1482176360225,86.7,8.2,5.48780487804878,3.23639774859287
"Bellingham","  $82,383",1933,79.7723745473357,84.4,9.6,4.55250905328505,1.13812726332126
"Belmont","  $96,334",4371,86.8908716540837,63,7.4,7.52688172043011,0.800732097918097
"Berkshire Hills","  $79,805",1158,70.1208981001727,77.9,12.9,8.37651122625216,2.15889464594128
"Berlin-Boylston","  $76,764",1024,84.9609375,82.5,9,5.56640625,1.26953125
"Beverly","  $80,233",4549,86.8762365355023,75,18.4,6.30907891844361,3.58320510002198
"Billerica","  $92,504",4485,87.0011148272018,74.1,13.4,5.12820512820513,2.1850613154961
"Blackstone Valley Regional Vocational Technical","  $82,442",1231,39.1551584077985,86.4,9.1,23.5580828594638,2.68074735987002
"Blackstone-Millville","  $77,485",1526,87.4180865006553,84.7,10.2,3.01441677588467,9.63302752293578
"Blue Hills Regional Vocational Technical","  $92,172",874,18.7643020594966,54.4,37.2,11.6704805491991,4.5766590389016
"Boston"," $105,235",45385,68.4785722154897,14.8,72.3,7.20282031508208,4.08284675553597
"Bourne","  $86,901",1612,89.8263027295285,85.9,7.2,8.06451612903226,4.03225806451613
"Braintree","  $89,698",5395,82.1130676552363,63.6,10.5,8.22984244670992,2.7062094531974
"Bridgewater-Raynham","  $88,568",5202,67.2241445597847,80.8,11.6,5.2479815455594,2.03767781622453
"Bristol County Agricultural","  $74,301",448,0,91.1,6.7,7.58928571428571,2.90178571428571
"Bristol-Plymouth Regional Vocational Technical","  $93,242",1311,19.9847444698703,85.3,9.6,7.55148741418764,6.78871090770404
"Brockton","  $98,853",15092,82.8584680625497,15.3,77.9,1.53061224489796,10.2769679300292
"Brookline"," $100,041",6625,86.8075471698113,52,17.7,6.27924528301887,0.950943396226415
"Burlington"," $100,657",3394,74.3959929286977,62.9,15.3,5.42133176193282,1.56157925751326
"Cambridge","  $94,947",6161,85.051128063626,40.1,37.8,5.53481577665963,1.88281123194287
"Canton","  $88,417",3140,89.7770700636943,64.8,17.2,8.94904458598726,3.72611464968153
"Cape Cod Regional Vocational Technical","  $89,119",626,24.7603833865815,71.1,21.9,3.19488817891374,12.779552715655
"Carver","  $71,209",1452,67.0110192837465,93.7,4.4,5.44077134986226,4.95867768595041
"Central Berkshire","  $78,646",1476,62.8726287262873,89.7,5,4.40379403794038,6.30081300813008
"Chelmsford","  $81,214",4819,88.1925710728367,67.7,11.7,5.89333886698485,2.46939199003943
"Chelsea","  $74,843",5867,91.0516447929095,6.1,92.4,1.10789159706835,5.31787966592807
"Chicopee","  $80,297",6726,75.3791257805531,48.7,45.8,1.79898899791853,8.10288432946774
"Clinton","  $73,517",1807,78.4726065301605,60.3,36.2,2.49031543995573,6.58550083010515
"Cohasset","  $94,670",1416,97.6694915254237,91.8,4.2,9.25141242937853,0.423728813559322
"Concord-Carlisle"," $110,665",1310,52.2137404580153,76.6,9.6,22.2137404580153,0.534351145038168
"Danvers","  $87,538",3221,89.6615957777088,83.6,11.4,3.81868984787333,2.54579323191555
"Dartmouth","  $82,263",3341,85.1242143070937,85.5,7.3,6.19574977551631,2.63394193355283
"Dedham","  $92,785",2463,85.6678846934633,68.6,23.8,6.78034916768169,4.26309378806334
"Dennis-Yarmouth","  $81,000",2686,79.33730454207,65,23.6,3.9463886820551,0.856291883842144
"Dighton-Rehoboth","  $79,966",2571,88.8370283936212,88.8,6,4.04511863088293,2.02255931544146
"Douglas","  $70,821",1145,73.8864628820961,89.8,6,5.1528384279476,5.41484716157205
"Dover-Sherborn"," $102,886",1182,87.1404399323181,73.8,8.1,14.5516074450085,2.11505922165821
"Dracut","  $72,274",3616,80.4480088495575,70.3,19.7,4.34181415929203,4.34181415929203
"Dudley-Charlton Reg","  $76,341",3370,77.8041543026706,84.3,11.4,4.92581602373887,3.64985163204748
"Duxbury","  $88,595",2775,90.054054054054,91.7,3.1,7.96396396396396,1.62162162162162
"East Bridgewater","  $76,336",2046,94.6236559139785,87.5,8.2,4.34995112414467,2.29716520039101
"East Longmeadow","  $77,472",2405,82.4116424116424,77.4,13.3,5.82120582120582,2.16216216216216
"Easthampton","  $69,967",1418,88.8575458392101,77.1,15.4,3.10296191819464,7.7574047954866
"Easton","  $83,580",3381,76.634131913635,78.1,14.2,8.2815734989648,3.16474415853298
"Essex North Shore Agricultural and Technical School District","  $85,243",1566,3.76756066411239,79.3,14.8,19.029374201788,1.72413793103448
"Everett","  $88,022",6885,85.1851851851852,17.6,75.1,4.08133623819898,4.02323892519971
"Fairhaven","  $72,634",1876,17.6439232409382,85.6,8.2,6.18336886993603,0.479744136460554
"Fall River","  $80,994",10048,80.3343949044586,48,39.5,1.63216560509554,10.9474522292994
"Falmouth","  $82,608",2925,91.7606837606838,78,12.7,4.34188034188034,3.93162393162393
"Fitchburg","  $77,102",5066,82.747729964469,25.8,62.2,4.71772601658113,8.92222660876431
"Foxborough","  $91,495",2398,83.9449541284404,78.1,13.6,7.75646371976647,3.91993327773144
"Framingham","  $95,592",8627,86.9247710675785,46.3,44.8,5.3436884200765,6.23623507592442
"Franklin","  $80,587",4760,84.6848739495798,84.1,7,10.672268907563,2.85714285714286
"Franklin County Regional Vocational Technical","  $84,698",557,0,89,7.5,1.79533213644524,19.9281867145422
"Freetown-Lakeville","  $76,861",2666,84.6211552888222,92.4,4.4,4.76369092273068,3.67591897974494
"Frontier","  $71,541",646,40.4024767801858,83.8,9.1,8.35913312693498,0.773993808049536
"Gardner","  $72,538",2134,62.933458294283,62.3,27.5,4.73289597000937,3.37394564198688
"Gateway","  $64,063",722,89.4736842105263,91.3,6.6,1.93905817174515,2.35457063711911
"Georgetown","  $76,309",1200,93.0833333333333,93.7,3.2,5.75,0
"Gill-Montague","  $65,437",814,93.4889434889435,76,16.7,0.85995085995086,2.94840294840295
"Gloucester","  $85,198",2692,78.2689450222883,79.7,14.7,3.34323922734027,2.30312035661218
"Grafton","  $76,344",3052,79.6854521625164,76,8.2,7.04456094364351,2.45740498034076
"Granby","  $62,224",686,90.8163265306122,83.9,10.5,5.10204081632653,1.31195335276968
"Greater Fall River Regional Vocational Technical","  $94,246",1439,6.53231410701876,75.5,15.5,4.30854760250174,6.87977762334955
"Greater Lawrence Regional Vocational Technical","  $88,589",1629,7.05954573357888,15.4,83.2,4.11295273173726,5.58624923265807
"Greater Lowell Regional Vocational Technical","  $90,919",2268,7.62786596119929,38.4,41.2,5.15873015873016,8.2010582010582
"Greater New Bedford Regional Vocational Technical","  $95,697",2106,7.26495726495727,59.3,33.4,3.84615384615385,8.59449192782526
"Greenfield","  $68,142",1501,92.871419053964,69.5,23.4,2.19853431045969,12.1252498334444
"Groton-Dunstable","  $83,460",2229,84.3427545984747,84.7,4.6,8.47913862718708,1.21130551816958
"Hadley","  $69,416",493,82.3529411764706,75.9,13.8,6.69371196754564,0.202839756592292
"Hamilton-Wenham","  $86,096",1646,92.7703523693803,87.8,5.7,6.43985419198056,0.850546780072904
"Hampden-Wilbraham","  $82,197",2780,81.8705035971223,82.4,11.6,6.76258992805755,6.65467625899281
"Hampshire","  $70,833",680,67.0588235294118,91.2,4.4,6.76470588235294,3.38235294117647
"Hanover","  $89,689",2571,84.7530143912874,93.3,3.7,6.18436406067678,0.622325943212758
"Harvard","  $93,735",988,84.6153846153846,75.9,6.9,8.40080971659919,1.01214574898785
"Hatfield","  $66,566",379,84.4327176781003,92.4,4.6,5.0131926121372,0
"Haverhill","  $74,287",7616,86.8172268907563,49.7,46.1,2.07457983193277,7.85189075630252
"Hingham","  $97,280",3884,75.2317198764161,88.2,5.5,8.85684860968074,1.2615859938208
"Holbrook","  $74,601",1228,78.9902280130293,50.1,36,3.74592833876222,3.66449511400651
"Holliston","  $84,877",2704,89.164201183432,80.6,6.6,8.57988165680473,1.33136094674556
"Holyoke","  $71,621",4948,69.1592562651576,13.9,84.1,1.47534357316087,12.0856911883589
"Hoosac Valley Regional","  $81,911",988,80.2631578947368,91.1,6,3.94736842105263,2.63157894736842
"Hopedale","  $70,701",1015,89.9507389162562,82.5,10.6,5.61576354679803,1.57635467980296
"Hopkinton","  $93,778",3887,87.4710573707229,66.6,4.8,7.3835863133522,1.44069976845897
"Hudson","  $81,072",2410,90,77.8,17.6,3.90041493775934,4.64730290456432
"Hull","  $83,820",766,35.509138381201,90.3,5.8,7.18015665796345,5.22193211488251
"Ipswich","  $79,104",1576,91.1802030456853,86.3,8.4,7.99492385786802,1.33248730964467
"King Philip","  $79,197",1939,52.0371325425477,87.8,6.9,15.0077359463641,1.95977307890665
"Lawrence","  $69,596",12740,40.8241758241758,3.2,95.1,3.2574568288854,5.55729984301413
"Lee","  $68,551",659,80.7283763277694,84.3,9.5,5.76631259484067,5.31107738998482
"Leicester","  $82,768",1354,84.1949778434269,74.5,19.1,3.61890694239291,5.98227474150665
"Lenox","  $79,665",726,86.2258953168044,80,9.8,4.95867768595041,2.06611570247934
"Leominster","  $75,588",5877,71.2268164029267,44.4,47.8,3.82848392036753,6.78917815211843
"Lexington","  $92,678",6884,93.9134224288205,41.8,8.7,9.84892504357931,0.406740267286461
"Lincoln-Sudbury"," $107,460",1516,69.1292875989446,77.3,10.6,25.131926121372,1.97889182058048
"Littleton","  $78,543",1530,67.3856209150327,80.8,4.1,7.25490196078431,0.784313725490196
"Longmeadow","  $77,808",2704,81.1760355029586,76.6,8.4,8.02514792899408,2.69970414201183
"Lowell","  $78,200",13857,80.861658367612,24.4,43.7,2.28043588078228,6.67532654975825
"Ludlow","  $73,780",2352,74.9149659863945,80.8,14.8,5.22959183673469,6.93027210884354
"Lunenburg","  $83,054",1557,85.1637764932563,83.4,11.5,4.68850353243417,3.01862556197816
"Lynn","  $79,555",12682,64.8162750354834,13,76.1,1.66377542974294,6.85223150922567
"Lynnfield","  $93,517",2146,83.3643988816403,82.2,7.7,7.78191985088537,0.559179869524697
"Malden","  $84,785",5969,80.1139219299715,27.1,45.8,6.50025129837494,4.84168202378958
"Manchester Essex Regional","  $86,227",1260,80.1587301587302,96.5,1.8,7.46031746031746,0.238095238095238
"Mansfield","  $89,125",3425,85.7518248175183,77.4,10.7,7.53284671532847,2.36496350364963
"Marblehead","  $83,051",2672,80.3892215568862,85.2,9.9,8.72005988023952,1.72155688622754
"Marlborough","  $82,442",4698,76.309067688378,38,56.6,3.0438484461473,3.95913154533844
"Marshfield","  $79,755",3695,76.0757780784844,92.3,4.3,8.25439783491204,1.81326116373478
"Martha's Vineyard","  $97,895",673,54.2347696879643,65.3,26.3,20.5052005943536,4.75482912332838
"Masconomet"," $101,319",1698,61.8963486454653,90,3.8,23.6160188457008,2.47349823321555
"Mashpee","  $78,685",1465,76.5870307167235,71.9,11,4.64163822525597,1.97952218430034
"Maynard","  $83,424",1127,78.9707187222715,78.3,15,6.4773735581189,1.24223602484472
"Medfield","  $98,997",2460,87.8048780487805,87,4.8,9.75609756097561,0.528455284552846
"Medford","  $86,949",3888,79.8611111111111,59.1,25.7,4.68106995884774,2.31481481481481
"Medway","  $82,251",2063,89.4813378574891,86.2,7.5,10.4217159476491,3.29617062530296
"Melrose","  $69,025",3547,84.6349027347054,76.8,11.4,6.51254581336341,1.18409923879335
"Mendon-Upton","  $86,148",2109,73.4471313418682,88.8,6.1,7.82361308677098,3.74585111427217
"Methuen","  $78,476",6448,86.6780397022332,42.6,49.8,3.79962779156328,8.46774193548387
"Middleborough","  $78,416",2866,84.542916957432,88,5.3,4.71039776692254,5.09420795533845
"Milford","  $84,923",4205,84.5184304399524,58.8,35,4.1141498216409,5.92152199762188
"Millbury","  $83,615",1531,82.4297844546048,78.9,11.9,4.50685826257348,6.46636185499673
"Millis","  $91,704",1122,80.3921568627451,83.7,9.1,6.95187165775401,0.980392156862745
"Milton","  $86,571",4219,83.9772457928419,68.5,18.3,8.08248400094809,1.25622185351979
"Minuteman Regional Vocational Technical"," $104,099",627,60.4465709728868,79.4,11.4,13.7161084529506,8.61244019138756
"Mohawk Trail","  $72,849",693,64.7907647907648,92,5.3,2.5974025974026,5.48340548340548
"Monomoy Regional School District","  $80,027",1737,64.5365572826713,77.6,14.6,6.16004605641911,4.66321243523316
"Monson","  $64,317",805,84.8447204968944,87.4,7.3,1.61490683229814,1.36645962732919
"Montachusett Regional Vocational Technical","  $85,856",1401,6.06709493219129,74.9,19.2,7.20913633119201,13.0620985010707
"Mount Greylock","  $73,492",1057,78.6187322611164,86.1,7.3,8.98770104068117,3.97350993377483
"Nantucket","  $96,400",1625,84.8,48.2,45.7,5.29230769230769,6.27692307692308
"Narragansett","  $68,186",1289,46.0822342901474,87.6,8.6,1.78432893716059,4.42203258339798
"Nashoba","  $85,068",3026,90.2511566424322,85.1,8.1,9.51751487111699,1.5862524785195
"Nashoba Valley Regional Vocational Technical","  $84,611",730,43.2876712328767,84.8,9.8,4.65753424657534,6.43835616438356
"Natick","  $81,434",5185,90.1253616200579,74.2,9.7,7.19382835101254,1.60077145612343
"Nauset","  $90,588",1432,66.9692737430168,84.5,10.6,14.1061452513966,3.28212290502793
"Needham","  $92,960",5463,85.9051803038624,74.5,9.3,6.73622551711514,1.07999267801574
"New Bedford","  $77,349",12300,90.5772357723577,38.1,55.3,1.17073170731707,9.69918699186992
"Newburyport","  $84,050",2095,81.6706443914081,90.3,5.2,9.11694510739857,1.00238663484487
"Newton","  $88,804",11895,83.1946195880622,58.9,13.2,8.23875577973939,1.58049600672551
"Norfolk County Agricultural","  $78,864",586,0,91,2.6,13.8225255972696,5.11945392491468
"North Adams","  $64,473",1211,80.8422791081751,81.2,9.2,4.95458298926507,9.08340214698596
"North Andover","  $81,527",4476,87.9356568364611,72.5,16.4,7.77479892761394,1.27345844504021
"North Attleborough","  $81,559",3822,89.534275248561,78.4,9.7,6.20094191522763,1.98848770277342
"North Brookfield","  $63,582",488,81.7622950819672,87,8.2,1.4344262295082,5.32786885245902
"North Middlesex","  $75,065",2893,93.7780850328379,87.5,7.3,4.83926719668164,3.56031800898721
"North Reading","  $81,584",2265,84.9448123620309,87.2,4.9,7.32891832229581,1.36865342163355
"Northampton","  $65,209",2573,78.9739603575593,69.9,19.8,6.95685969685192,2.02098717450447
"Northampton-Smith Vocational Agricultural","  $67,664",535,55.7009345794393,83.2,14.4,2.24299065420561,8.5981308411215
"Northboro-Southboro","  $91,342",1349,48.1097108969607,74.5,8.2,25.4262416604893,1.33432171979244
"Northbridge","  $74,441",1898,91.9915700737618,83.7,10.3,4.37302423603793,5.21601685985248
"Northeast Metropolitan Regional Vocational Technical","  $92,802",1292,4.56656346749226,60.3,36.9,5.03095975232198,14.6284829721362
"Northern Berkshire Regional Vocational Technical","  $83,580",501,0,95.4,2.2,8.18363273453094,6.187624750499
"Norton","  $87,137",2308,85.7452339688042,88.1,6.3,5.15597920277296,3.11958405545927
"Norwell","  $88,792",2182,87.9926672777269,92.3,1.8,10.9074243813016,1.05407882676444
"Norwood","  $88,388",3317,74.1031052155562,60.5,27.7,6.39131745553211,3.5875791377751
"Old Colony Regional Vocational Technical","  $75,044",555,9.36936936936937,93.7,2.7,5.58558558558559,4.32432432432432
"Old Rochester","  $87,789",1130,71.3274336283186,89.4,4.2,16.8141592920354,3.6283185840708
"Oxford","  $70,478",1447,86.8002764340014,79.1,15.2,2.83344851416724,9.53697304768487
"Palmer","  $69,965",1178,83.786078098472,75.9,17,2.80135823429542,9.76230899830221
"Pathfinder Regional Vocational Technical","  $73,441",602,10.4651162790698,92.2,4.9,2.15946843853821,7.9734219269103
"Peabody","  $85,244",5613,77.213611259576,72.5,23.2,3.22465704614288,4.04418314626759
"Pembroke","  $86,750",2551,85.8878871030968,94,2.4,8.27126617012936,4.15523324186593
"Pentucket","  $75,431",2141,88.2297991592714,89.9,6.4,7.05277907519851,2.89584306398879
"Pioneer Valley","  $67,962",610,82.4590163934426,92.1,2.5,5.57377049180328,1.9672131147541
"Pittsfield","  $65,584",4897,71.1660200122524,60.4,28.3,2.38921788850317,12.1298754339391
"Plymouth","  $76,082",7033,83.3641404805915,85,8.9,6.29887672401536,7.1093416749609
"Quabbin","  $75,181",2025,88.0987654320988,89.2,7.2,4.04938271604938,6.81481481481481
"Quaboag Regional","  $66,770",1132,80.6537102473498,87.9,7.6,3.62190812720848,6.44876325088339
"Quincy","  $86,635",9158,73.7934046735095,39.7,15.8,6.8246341996069,2.60974011792968
"Ralph C Mahar","  $66,369",625,86.88,84.6,9.7,2.88,11.2
"Randolph","  $81,340",2580,63.062015503876,11.8,65.6,1.62790697674419,8.13953488372093
"Reading","  $81,265",3863,87.3414444732073,86.1,5.9,9.81102769867978,0.440072482526534
"Revere","  $85,089",7176,72.0317725752508,31.5,62.1,3.87402452619844,2.98216276477146
"Rockland","  $71,980",2161,82.0916242480333,70.2,23.9,4.2572882924572,5.87690883850069
"Rockport","  $78,931",760,85.5263157894737,90.4,4.3,5.39473684210526,3.94736842105263
"Salem","  $97,534",3692,79.5774647887324,42.4,50.5,3.25027085590466,4.44203683640303
"Sandwich","  $81,355",2284,91.6812609457093,90.8,4.6,5.69176882661997,1.09457092819615
"Saugus","  $78,350",2387,83.0749895266024,62.5,28.2,4.06367825722664,20.1927105152912
"Scituate","  $89,590",2816,88.7784090909091,92.3,4.7,9.05539772727273,1.27840909090909
"Seekonk","  $82,640",2002,91.0589410589411,84.4,8.1,5.59440559440559,5.29470529470529
"Sharon","  $94,777",3473,81.0250503887129,52.6,11,8.3501295709761,1.87158076590844
"Shawsheen Valley Regional Vocational Technical","  $99,469",1302,11.7511520737327,90.5,6.7,9.44700460829493,6.45161290322581
"Shrewsbury","  $82,305",5907,81.5981039444727,49.2,12.7,9.37870323345184,1.82833925850686
"Silver Lake","  $90,720",1593,57.1249215317012,93.6,3.9,15.8819836785938,4.14312617702448
"Somerset Berkley Regional School District","  $79,473",1000,63.5,92.4,5.5,17,9.2
"Somerville","  $89,167",4392,83.5382513661202,39.2,50,3.52914389799636,4.37158469945355
"South Hadley","  $71,848",1712,74.6495327102804,77.4,17.8,5.43224299065421,5.89953271028037
"South Middlesex Regional Vocational Technical","  $86,290",815,26.2576687116564,47.7,45.9,5.03067484662577,5.6441717791411
"South Shore Regional Vocational Technical","  $84,445",637,30.4552590266876,91.2,6.3,6.27943485086342,7.69230769230769
"Southbridge","  $69,792",1824,85.6359649122807,32.1,64.3,0.383771929824561,11.0745614035088
"Southeastern Regional Vocational Technical","  $85,674",1527,11.0674525212836,42.9,49.7,7.00720366732155,1.63719711853307
"Southern Berkshire","  $74,022",630,85.2380952380952,84.4,10.3,6.98412698412698,0.158730158730159
"Southwick-Tolland-Granville Regional School District","  $67,810",1366,86.2371888726208,89.3,7.2,3.66032210834553,4.7584187408492
"Spencer-E Brookfield","  $68,084",1292,68.1114551083591,75.5,19,1.23839009287926,6.11455108359133
"Springfield","  $70,854",22402,66.601196321757,9,86.6,8.43228283189001,8.54834389786626
"Stoneham","  $78,626",2211,87.5621890547264,77.8,12.2,5.56309362279512,2.93984622342831
"Stoughton","  $87,196",3353,93.4983596779004,48,39.7,4.56307784073964,4.83149418431256
"Sutton","  $80,456",1226,69.7389885807504,89.7,5.1,7.25938009787928,0.734094616639478
"Swampscott","  $81,317",2077,87.0004814636495,78.1,15.8,7.70341839191141,2.16658642272508
"Swansea","  $74,792",1971,81.0755961440893,93.5,3.6,2.94266869609335,4.31253170979198
"Tantasqua","  $82,637",1775,66.9859154929577,87.3,7.7,9.12676056338028,5.07042253521127
"Taunton","  $83,245",7631,77.8010745642773,59.3,33.4,3.44646835277159,6.61774341501769
"Tewksbury","  $79,769",3072,85.1236979166667,83.3,10.6,4.85026041666667,2.34375
"Tri-County Regional Vocational Technical","  $92,139",946,34.5665961945032,85.4,8.8,8.56236786469345,8.13953488372093
"Triton","  $84,033",2105,81.2826603325416,90.1,5.5,6.55581947743468,3.1353919239905
"Tyngsborough","  $83,540",1561,66.2395900064061,75.2,11.9,5.95771941063421,0.576553491351698
"Upper Cape Cod Regional Vocational Technical","  $76,629",708,0,83.5,7.4,4.23728813559322,12.7118644067797
"Uxbridge","  $76,704",1592,82.9773869346734,88.4,7.3,4.45979899497487,2.8894472361809
"Wachusett","  $83,930",6531,85.3161843515541,85.2,9.1,7.57923748277446,1.69958658704639
"Wakefield","  $83,373",3250,87.1076923076923,82.2,10.7,6.06153846153846,1.07692307692308
"Walpole","  $83,747",3612,85.0221483942414,79.6,10,7.80730897009967,2.24252491694352
"Waltham","  $85,508",5398,82.5676176361615,40.1,52.4,3.96443127084105,6.039273805113
"Ware","  $67,010",1109,83.5888187556357,85,10.4,3.15599639314698,5.86113615870153
"Wareham","  $79,709",1976,81.2246963562753,68.4,16.4,2.42914979757085,10.9817813765182
"Watertown","  $83,861",2448,85.9885620915033,62.9,23.9,4.98366013071895,2.57352941176471
"Wayland"," $102,292",2718,82.3767476085357,68.2,10,7.10080941869021,1.58204562178072
"Webster","  $73,923",1630,92.0245398773006,52.5,39.3,2.57668711656442,11.4110429447853
"Wellesley"," $101,508",4351,85.9112847621237,68,9.3,7.00988278556654,1.08021144564468
"West Boylston","  $81,612",861,88.7340301974448,78.1,15.2,6.62020905923345,2.4390243902439
"West Bridgewater","  $79,590",1361,96.0323291697281,81.1,12.6,5.73108008817046,4.92285084496694
"West Springfield","  $72,990",3831,79.9791177238319,62.2,25.3,2.14043330723049,3.96763247193944
"Westborough","  $83,176",3753,84.3858246735945,50.8,10.4,9.56568078870237,0.905941913136158
"Westfield","  $73,578",4792,73.9357262103506,73.2,20.2,2.92153589315526,6.99081803005008
"Westford","  $88,289",4703,87.5398681692537,62.4,4,10.5251966829683,1.04188815649585
"Weston"," $105,960",1874,89.5410885805763,63.7,13.1,7.09711846318036,0.96051227321238
"Westport","  $83,280",1331,90.3080390683697,90.9,4.7,2.32907588279489,4.50788880540947
"Westwood","  $99,642",2914,85.5868222374743,76,7,9.98627316403569,1.57858613589568
"Weymouth","  $80,324",5523,74.1806988955278,68.2,19.8,4.54463154082926,8.38312511316314
"Whitman-Hanson","  $86,197",3513,67.77682892115,85.8,9.2,5.32308568175349,2.36265300313123
"Whittier Regional Vocational Technical","  $89,567",1236,4.12621359223301,66.2,28.3,4.85436893203883,5.2588996763754
"Wilmington","  $84,590",2816,89.6306818181818,84.1,6.1,5.78835227272727,2.13068181818182
"Winchendon","  $80,990",1131,80.1945181255526,85.2,9.1,7.42705570291777,7.60389036251105
"Winchester","  $85,916",4441,80.4323350596712,69.9,4.6,8.80432335059671,0.630488628687233
"Winthrop","  $75,638",1825,83.6712328767123,80.5,17.4,3.01369863013699,1.80821917808219
"Woburn","  $84,510",4177,84.6301173090735,68.4,19.9,4.26143164950922,0.646396935599713
"Worcester","  $86,937",20249,78.4680724974073,29,60.2,6.7904587880883,7.47197392463825
"State Totals","  $84,589",883923,77.5010945523535,56.5,31.8,5.74507055478814,4.48862627174539
