District Name,District Code,Salary Totals,Average Salary,FTE Count
Abington,00010000,"     $11,881,609",94149.00,    126.2
Acton-Boxborough,06000000,"     $34,234,578",89246.00,    383.6
Acushnet,00030000,"      $5,173,481",73383.00,     70.5
Agawam,00050000,"     $25,960,018",84533.00,    307.1
Amesbury,00070000,"     $13,587,070",81751.00,    166.2
Amherst,00080000,"      $9,664,620",80338.00,    120.3
Amherst-Pelham,06050000,"      $9,628,651",85588.00,    112.5
Andover,00090000,"     $44,045,945",91896.00,    479.3
Arlington,00100000,"     $35,811,485",81650.00,    438.6
Ashburnham-Westminster,06100000,"     $11,631,430",71534.00,    162.6
Ashland,00140000,"     $16,908,571",83540.00,    202.4
Assabet Valley Regional Vocational Technical,08010000,"      $9,051,274",78434.00,    115.4
Athol-Royalston,06150000,"      $7,415,511",66567.00,    111.4
Attleboro,00160000,"     $34,080,752",88775.00,    383.9
Auburn,00170000,"     $14,401,589",77553.00,    185.7
Avon,00180000,"      $5,343,108",78345.00,     68.2
Ayer Shirley School District,06160000,"      $9,403,905",70600.00,    133.2
Barnstable,00200000,"     $33,421,064",85128.00,    392.6
Bedford,00230000,"     $23,190,429",97644.00,    237.5
Belchertown,00240000,"     $12,575,818",74501.00,    168.8
Bellingham,00250000,"     $13,329,518",82383.00,    161.8
Belmont,00260000,"     $27,455,202",96334.00,    285.0
Berkley,00270000,"      $4,565,839",72704.00,     62.8
Berkshire Hills,06180000,"      $9,081,789",79805.00,    113.8
Berlin-Boylston,06200000,"      $6,832,032",76764.00,     89.0
Beverly,00300000,"     $26,942,167",80233.00,    335.8
Billerica,00310000,"     $34,272,836",92504.00,    370.5
Blackstone Valley Regional Vocational Technical,08050000,"      $8,537,741",82442.00,    103.6
Blackstone-Millville,06220000,"      $9,027,012",77485.00,    116.5
Blue Hills Regional Vocational Technical,08060000,"      $7,834,589",92172.00,     85.0
Boston,00350000,"    $463,706,080",105235.00,"  4,406.4"
Bourne,00360000,"     $12,374,661",86901.00,    142.4
Boxford,00380000,"      $5,259,132",80910.00,     65.0
Braintree,00400000,"     $38,022,824",89698.00,    423.9
Brewster,00410000,"      $3,588,352",81739.00,     43.9
Bridgewater-Raynham,06250000,"     $29,820,743",88568.00,    336.7
Brimfield,00430000,"      $2,017,768",79754.00,     25.3
Bristol County Agricultural,09100000,"      $2,615,403",74301.00,     35.2
Bristol-Plymouth Regional Vocational Technical,08100000,"      $9,848,246",93242.00,    105.6
Brockton,00440000,"    $101,393,356",98853.00,"  1,025.7"
Brookfield,00450000,"      $1,768,587",78256.00,     22.6
Brookline,00460000,"     $66,497,541",100041.00,    664.7
Burlington,00480000,"     $31,354,718",100657.00,    311.5
Cambridge,00490000,"     $68,760,281",94947.00,    724.2
Canton,00500000,"     $21,785,975",88417.00,    246.4
Cape Cod Regional Vocational Technical,08150000,"      $5,222,361",89119.00,     58.6
Carlisle,00510000,"      $5,755,682",104270.00,     55.2
Carver,00520000,"      $9,050,631",71209.00,    127.1
Central Berkshire,06350000,"      $9,626,224",78646.00,    122.4
Chelmsford,00560000,"     $30,008,538",81214.00,    369.5
Chelsea,00570000,"     $31,508,729",74843.00,    421.0
Chesterfield-Goshen,06320000,"      $1,094,093",78150.00,     14.0
Chicopee,00610000,"     $46,708,928",80297.00,    581.7
Clarksburg,00630000,"      $1,093,760",76487.00,     14.3
Clinton,00640000,"     $10,711,446",73517.00,    145.7
Cohasset,00650000,"     $10,451,607",94670.00,    110.4
Concord,00670000,"     $18,777,033",107852.00,    174.1
Concord-Carlisle,06400000,"     $11,453,783",110665.00,    103.5
Conway,00680000,"        $966,562",76711.00,     12.6
Danvers,00710000,"     $23,232,527",87538.00,    265.4
Dartmouth,00720000,"     $22,498,972",82263.00,    273.5
Dedham,00730000,"     $21,888,036",92785.00,    235.9
Deerfield,00740000,"      $2,579,727",69347.00,     37.2
Dennis-Yarmouth,06450000,"     $21,950,994",81000.00,    271.0
Dighton-Rehoboth,06500000,"     $17,568,494",79966.00,    219.7
Douglas,00770000,"      $7,075,010",70821.00,     99.9
Dover,00780000,"      $3,763,108",93146.00,     40.4
Dover-Sherborn,06550000,"     $10,648,707",102886.00,    103.5
Dracut,00790000,"     $16,196,707",72274.00,    224.1
Dudley-Charlton Reg,06580000,"     $21,528,247",76341.00,    282.0
Duxbury,00820000,"     $19,606,021",88595.00,    221.3
East Bridgewater,00830000,"     $11,717,567",76336.00,    153.5
East Longmeadow,00870000,"     $16,191,607",77472.00,    209.0
Eastham,00850000,"      $1,951,119",93804.00,     20.8
Easthampton,00860000,"      $8,158,162",69967.00,    116.6
Easton,00880000,"     $21,530,332",83580.00,    257.6
Edgartown,00890000,"      $4,135,762",94640.00,     43.7
Erving,00910000,"      $1,410,673",73473.00,     19.2
Essex North Shore Agricultural and Technical School District,08170000,"     $10,638,303",85243.00,    124.8
Everett,00930000,"     $48,482,790",88022.00,    550.8
Fairhaven,00940000,"     $10,604,503",72634.00,    146.0
Fall River,00950000,"     $57,335,971",80994.00,    707.9
Falmouth,00960000,"     $23,832,373",82608.00,    288.5
Farmington River Reg,06620000,"        $607,990",49835.00,     12.2
Fitchburg,00970000,"     $29,360,372",77102.00,    380.8
Florida,00980000,"        $677,101",62695.00,     10.8
Foxborough,00990000,"     $18,747,229",91495.00,    204.9
Framingham,01000000,"     $67,220,425",95592.00,    703.2
Franklin,01010000,"     $31,791,470",80587.00,    394.5
Franklin County Regional Vocational Technical,08180000,"      $4,370,401",84698.00,     51.6
Freetown-Lakeville,06650000,"     $15,364,438",76861.00,    199.9
Frontier,06700000,"      $3,741,616",71541.00,     52.3
Gardner,01030000,"     $12,592,604",72538.00,    173.6
Gateway,06720000,"      $5,208,312",64063.00,     81.3
Georgetown,01050000,"      $8,187,968",76309.00,    107.3
Gill-Montague,06740000,"      $5,621,004",65437.00,     85.9
Gloucester,01070000,"     $21,521,041",85198.00,    252.6
Grafton,01100000,"     $18,162,214",76344.00,    237.9
Granby,01110000,"      $3,758,318",62224.00,     60.4
Greater Fall River Regional Vocational Technical,08210000,"     $12,534,697",94246.00,    133.0
Greater Lawrence Regional Vocational Technical,08230000,"     $13,412,438",88589.00,    151.4
Greater Lowell Regional Vocational Technical,08280000,"     $17,365,570",90919.00,    191.0
Greater New Bedford Regional Vocational Technical,08250000,"     $16,641,758",95697.00,    173.9
Greenfield,01140000,"     $10,487,112",68142.00,    153.9
Groton-Dunstable,06730000,"     $15,381,663",83460.00,    184.3
Hadley,01170000,"      $3,470,797",69416.00,     50.0
Halifax,01180000,"      $3,343,709",95535.00,     35.0
Hamilton-Wenham,06750000,"     $12,621,610",86096.00,    146.6
Hampden-Wilbraham,06800000,"     $17,392,840",82197.00,    211.6
Hampshire,06830000,"      $5,284,118",70833.00,     74.6
Hancock,01210000,"        $488,262",54251.00,      9.0
Hanover,01220000,"     $17,426,505",89689.00,    194.3
Harvard,01250000,"      $8,623,611",93735.00,     92.0
Hatfield,01270000,"      $2,775,821",66566.00,     41.7
Haverhill,01280000,"     $44,490,768",74287.00,    598.9
Hawlemont,06850000,"        $995,952",82996.00,     12.0
Hingham,01310000,"     $29,164,434",97280.00,    299.8
Holbrook,01330000,"      $6,930,414",74601.00,     92.9
Holland,01350000,"      $1,308,017",79757.00,     16.4
Holliston,01360000,"     $18,036,414",84877.00,    212.5
Holyoke,01370000,"     $28,333,319",71621.00,    395.6
Hoosac Valley Regional,06030000,"      $7,044,317",81911.00,     86.0
Hopedale,01380000,"      $6,872,184",70701.00,     97.2
Hopkinton,01390000,"     $25,141,830",93778.00,    268.1
Hudson,01410000,"     $18,565,504",81072.00,    229.0
Hull,01420000,"      $6,881,656",83820.00,     82.1
Ipswich,01440000,"     $12,348,077",79104.00,    156.1
King Philip,06900000,"     $10,754,916",79197.00,    135.8
Kingston,01450000,"      $5,528,984",81070.00,     68.2
Lawrence,01490000,"     $77,864,114",69596.00,"  1,118.8"
Lee,01500000,"      $4,880,813",68551.00,     71.2
Leicester,01510000,"      $8,698,884",82768.00,    105.1
Lenox,01520000,"      $6,333,374",79665.00,     79.5
Leominster,01530000,"     $33,152,962",75588.00,    438.6
Leverett,01540000,"      $1,011,608",59858.00,     16.9
Lexington,01550000,"     $57,108,214",92678.00,    616.2
Lincoln,01570000,"     $11,228,180",93180.00,    120.5
Lincoln-Sudbury,06950000,"     $13,883,802",107460.00,    129.2
Littleton,01580000,"      $9,519,469",78543.00,    121.2
Longmeadow,01590000,"     $18,969,545",77808.00,    243.8
Lowell,01600000,"     $84,432,261",78200.00,"  1,079.7"
Ludlow,01610000,"     $17,057,839",73780.00,    231.2
Lunenburg,01620000,"      $8,920,016",83054.00,    107.4
Lynn,01630000,"     $93,310,156",79555.00,"  1,172.9"
Lynnfield,01640000,"     $15,196,481",93517.00,    162.5
Malden,01650000,"     $40,103,449",84785.00,    473.0
Manchester Essex Regional,06980000,"     $11,330,275",86227.00,    131.4
Mansfield,01670000,"     $26,817,649",89125.00,    300.9
Marblehead,01680000,"     $21,360,752",83051.00,    257.2
Marion,01690000,"      $3,177,389",97766.00,     32.5
Marlborough,01700000,"     $31,954,351",82442.00,    387.6
Marshfield,01710000,"     $25,888,578",79755.00,    324.6
Martha's Vineyard,07000000,"      $7,351,893",97895.00,     75.1
Masconomet,07050000,"     $13,414,616",101319.00,    132.4
Mashpee,01720000,"     $10,984,363",78685.00,    139.6
Mattapoisett,01730000,"      $3,381,549",91147.00,     37.1
Maynard,01740000,"      $9,326,836",83424.00,    111.8
Medfield,01750000,"     $19,363,750",98997.00,    195.6
Medford,01760000,"     $34,536,308",86949.00,    397.2
Medway,01770000,"     $13,193,043",82251.00,    160.4
Melrose,01780000,"     $18,906,000",69025.00,    273.9
Mendon-Upton,07100000,"     $13,473,622",86148.00,    156.4
Methuen,01810000,"     $39,065,358",78476.00,    497.8
Middleborough,01820000,"     $17,086,827",78416.00,    217.9
Middleton,01840000,"      $5,061,753",77754.00,     65.1
Milford,01850000,"     $28,670,097",84923.00,    337.6
Millbury,01860000,"     $11,012,064",83615.00,    131.7
Millis,01870000,"      $8,592,634",91704.00,     93.7
Milton,01890000,"     $26,863,007",86571.00,    310.3
Minuteman Regional Vocational Technical,08300000,"      $8,067,636",104099.00,     77.5
Mohawk Trail,07170000,"      $5,725,900",72849.00,     78.6
Monomoy Regional School District,07120000,"     $13,524,530",80027.00,    169.0
Monson,01910000,"      $5,209,659",64317.00,     81.0
Montachusett Regional Vocational Technical,08320000,"      $9,959,340",85856.00,    116.0
Mount Greylock,07150000,"      $7,775,496",73492.00,    105.8
Nahant,01960000,"        $753,403",78479.00,      9.6
Nantucket,01970000,"     $14,151,500",96400.00,    146.8
Narragansett,07200000,"      $6,845,854",68186.00,    100.4
Nashoba,07250000,"     $22,509,000",85068.00,    264.6
Nashoba Valley Regional Vocational Technical,08520000,"      $5,499,707",84611.00,     65.0
Natick,01980000,"     $35,114,259",81434.00,    431.2
Nauset,06600000,"     $12,356,259",90588.00,    136.4
Needham,01990000,"     $39,349,875",92960.00,    423.3
New Bedford,02010000,"     $74,123,951",77349.00,    958.3
New Salem-Wendell,07280000,"        $894,177",65268.00,     13.7
Newburyport,02040000,"     $16,415,031",84050.00,    195.3
Newton,02070000,"     $96,521,591",88804.00,"  1,086.9"
Norfolk,02080000,"      $6,912,539",87500.00,     79.0
Norfolk County Agricultural,09150000,"      $4,424,290",78864.00,     56.1
North Adams,02090000,"      $8,336,360",64473.00,    129.3
North Andover,02110000,"     $25,754,332",81527.00,    315.9
North Attleborough,02120000,"     $23,268,883",81559.00,    285.3
North Brookfield,02150000,"      $2,912,049",63582.00,     45.8
North Middlesex,07350000,"     $18,571,164",75065.00,    247.4
North Reading,02170000,"     $16,904,268",81584.00,    207.2
Northampton,02100000,"     $15,382,729",65209.00,    235.9
Northampton-Smith Vocational Agricultural,04060000,"      $3,789,165",67664.00,     56.0
Northboro-Southboro,07300000,"     $10,540,890",91342.00,    115.4
Northborough,02130000,"     $12,790,250",98843.00,    129.4
Northbridge,02140000,"     $11,895,607",74441.00,    159.8
Northeast Metropolitan Regional Vocational Technical,08530000,"     $11,099,128",92802.00,    119.6
Northern Berkshire Regional Vocational Technical,08510000,"      $4,187,345",83580.00,     50.1
Norton,02180000,"     $14,743,570",87137.00,    169.2
Norwell,02190000,"     $14,632,947",88792.00,    164.8
Norwood,02200000,"     $24,784,035",88388.00,    280.4
Oak Bluffs,02210000,"      $4,440,119",89881.00,     49.4
Old Colony Regional Vocational Technical,08550000,"      $4,502,669",75044.00,     60.0
Old Rochester,07400000,"      $7,900,996",87789.00,     90.0
Orange,02230000,"      $2,724,623",63958.00,     42.6
Oxford,02260000,"      $8,605,419",70478.00,    122.1
Palmer,02270000,"      $8,416,806",69965.00,    120.3
Pathfinder Regional Vocational Technical,08600000,"      $5,508,043",73441.00,     75.0
Peabody,02290000,"     $38,300,123",85244.00,    449.3
Pelham,02300000,"        $854,764",70063.00,     12.2
Pembroke,02310000,"     $16,491,238",86750.00,    190.1
Pentucket,07450000,"     $14,701,443",75431.00,    194.9
Petersham,02340000,"        $510,198",39246.00,     13.0
Pioneer Valley,07500000,"      $4,064,108",67962.00,     59.8
Pittsfield,02360000,"     $32,208,324",65584.00,    491.1
Plainville,02380000,"      $4,285,522",82414.00,     52.0
Plymouth,02390000,"     $48,212,863",76082.00,    633.7
Plympton,02400000,"      $1,505,634",87031.00,     17.3
Quabbin,07530000,"     $10,675,757",75181.00,    142.0
Quaboag Regional,07780000,"      $6,670,329",66770.00,     99.9
Quincy,02430000,"     $61,389,577",86635.00,    708.6
Ralph C Mahar,07550000,"      $4,201,165",66369.00,     63.3
Randolph,02440000,"     $20,221,083",81340.00,    248.6
Reading,02460000,"     $25,614,679",81265.00,    315.2
Revere,02480000,"     $48,457,924",85089.00,    569.5
Richmond,02490000,"      $1,476,386",73452.00,     20.1
Rochester,02500000,"      $3,458,896",91748.00,     37.7
Rockland,02510000,"     $12,697,280",71980.00,    176.4
Rockport,02520000,"      $7,111,703",78931.00,     90.1
Rowe,02530000,"        $581,667",70080.00,      8.3
Salem,02580000,"     $32,088,783",97534.00,    329.0
Sandwich,02610000,"     $16,254,709",81355.00,    199.8
Saugus,02620000,"     $16,523,950",78350.00,    210.9
Savoy,02630000,"        $292,547",45007.00,      6.5
Scituate,02640000,"     $21,913,739",89590.00,    244.6
Seekonk,02650000,"     $13,362,917",82640.00,    161.7
Sharon,02660000,"     $25,428,551",94777.00,    268.3
Shawsheen Valley Regional Vocational Technical,08710000,"     $12,652,436",99469.00,    127.2
Sherborn,02690000,"      $3,292,996",98593.00,     33.4
Shrewsbury,02710000,"     $34,279,957",82305.00,    416.5
Shutesbury,02720000,"      $1,023,856",64393.00,     15.9
Silver Lake,07600000,"     $12,319,838",90720.00,    135.8
Somerset,02730000,"     $10,384,643",79515.00,    130.6
Somerset Berkley Regional School District,07630000,"      $6,405,495",79473.00,     80.6
Somerville,02740000,"     $39,688,185",89167.00,    445.1
South Hadley,02780000,"     $10,640,720",71848.00,    148.1
South Middlesex Regional Vocational Technical,08290000,"      $6,998,134",86290.00,     81.1
South Shore Regional Vocational Technical,08730000,"      $5,379,145",84445.00,     63.7
Southampton,02750000,"      $2,880,053",75001.00,     38.4
Southborough,02760000,"     $10,661,889",100869.00,    105.7
Southbridge,02770000,"     $11,215,546",69792.00,    160.7
Southeastern Regional Vocational Technical,08720000,"     $11,763,043",85674.00,    137.3
Southern Berkshire,07650000,"      $5,692,282",74022.00,     76.9
Southern Worcester County Regional Vocational Technical,08760000,"      $8,936,350",79789.00,    112.0
Southwick-Tolland-Granville Regional School District,07660000,"      $8,645,780",67810.00,    127.5
Spencer-E Brookfield,07670000,"      $7,632,170",68084.00,    112.1
Springfield,02810000,"    $144,557,274",70854.00,"  2,040.2"
Stoneham,02840000,"     $15,512,883",78626.00,    197.3
Stoughton,02850000,"     $26,524,991",87196.00,    304.2
Sturbridge,02870000,"      $5,755,605",82814.00,     69.5
Sudbury,02880000,"     $19,713,967",100633.00,    195.9
Sunderland,02890000,"      $1,455,651",66773.00,     21.8
Sutton,02900000,"      $8,109,941",80456.00,    100.8
Swampscott,02910000,"     $15,019,329",81317.00,    184.7
Swansea,02920000,"     $11,899,409",74792.00,    159.1
Tantasqua,07700000,"     $11,329,541",82637.00,    137.1
Taunton,02930000,"     $45,035,413",83245.00,    541.0
Tewksbury,02950000,"     $20,843,655",79769.00,    261.3
Tisbury,02960000,"      $3,683,043",95913.00,     38.4
Topsfield,02980000,"      $4,773,912",86016.00,     55.5
Tri-County Regional Vocational Technical,08780000,"      $8,356,997",92139.00,     90.7
Triton,07730000,"     $16,403,301",84033.00,    195.2
Truro,03000000,"      $1,320,344",84098.00,     15.7
Tyngsborough,03010000,"     $10,701,481",83540.00,    128.1
Up-Island Regional,07740000,"      $4,639,018",88700.00,     52.3
Upper Cape Cod Regional Vocational Technical,08790000,"      $6,076,711",76629.00,     79.3
Uxbridge,03040000,"      $9,979,239",76704.00,    130.1
Wachusett,07750000,"     $37,684,439",83930.00,    449.0
Wakefield,03050000,"     $21,993,832",83373.00,    263.8
Wales,03060000,"        $863,499",83029.00,     10.4
Walpole,03070000,"     $24,261,607",83747.00,    289.7
Waltham,03080000,"     $45,293,802",85508.00,    529.7
Ware,03090000,"      $6,345,819",67010.00,     94.7
Wareham,03100000,"     $14,674,467",79709.00,    184.1
Watertown,03140000,"     $22,533,473",83861.00,    268.7
Wayland,03150000,"     $22,586,130",102292.00,    220.8
Webster,03160000,"     $10,297,537",73923.00,    139.3
Wellesley,03170000,"     $39,912,877",101508.00,    393.2
Wellfleet,03180000,"      $1,055,322",94225.00,     11.2
West Boylston,03220000,"      $6,733,028",81612.00,     82.5
West Bridgewater,03230000,"      $7,306,334",79590.00,     91.8
West Springfield,03320000,"     $23,926,068",72990.00,    327.8
Westborough,03210000,"     $27,573,006",83176.00,    331.5
Westfield,03250000,"     $31,645,720",73578.00,    430.1
Westford,03260000,"     $32,207,894",88289.00,    364.8
Westhampton,03270000,"        $956,020",65481.00,     14.6
Weston,03300000,"     $19,115,143",105960.00,    180.4
Westport,03310000,"      $9,460,609",83280.00,    113.6
Westwood,03350000,"     $24,123,358",99642.00,    242.1
Weymouth,03360000,"     $36,178,090",80324.00,    450.4
Whately,03370000,"        $825,546",66576.00,     12.4
Whitman-Hanson,07800000,"     $20,859,789",86197.00,    242.0
Whittier Regional Vocational Technical,08850000,"     $10,192,769",89567.00,    113.8
Williamsburg,03400000,"      $1,137,608",68120.00,     16.7
Wilmington,03420000,"     $23,059,212",84590.00,    272.6
Winchendon,03430000,"      $7,135,255",80990.00,     88.1
Winchester,03440000,"     $30,611,902",85916.00,    356.3
Winthrop,03460000,"     $11,307,947",75638.00,    149.5
Woburn,03470000,"     $30,879,774",84510.00,    365.4
Worcester,03480000,"    $164,224,420",86937.00,"  1,889.0"
Worthington,03490000,"        $440,385",59511.00,      7.4
Wrentham,03500000,"      $6,276,325",79750.00,     78.7
State Totals,00000000,"  $6,013,366,546",84589.00," 71,089.6"